;;;;;
;;;;;
"VW Kurshistorie 24.12.2012 - 28.06.2013";;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;;;;;
;"VW Vorzugsaktie (Xetra)";;;;
"Datum";"Preis";"Volumen";"Eröffnungspreis";"Hoch";"Tief"
"2013-06-27";156;1011915;154.7;157.35;154.3
"2013-06-26";154;1369548;152.8;154.4;151.8
"2013-06-25";151.5;1410110;148.35;152.8;147.65
"2013-06-24";146.95;1565901;149.5;150.5;146.35
"2013-06-21";149.95;2808911;154;154.4;149.95
"2013-06-20";153.1;2397208;157.9;157.9;151.4
"2013-06-19";159.7;939199;162;162.85;159.7
"2013-06-18";161.8;869885;162.5;162.95;159.5
"2013-06-17";162.3;1138020;160.3;164;160.1
"2013-06-14";159.15;909628;160;160.7;158.35
"2013-06-13";158;1412424;156.95;158.4;155.1
"2013-06-12";159.7;2076550;161.5;161.9;158.65
"2013-06-11";165.15;1247959;167.4;168;163.65
"2013-06-10";168;1004305;168.5;169.8;165.8
"2013-06-07";166.25;1225556;162.6;168.1;160.1
"2013-06-06";162.35;955414;164;165.85;162.1
"2013-06-05";164.5;788137;164.1;165.75;163.1
"2013-06-04";165.25;1126141;168.55;169.15;163.55
"2013-06-03";167.05;954150;167.6;169.5;165.35
"2013-05-31";168.95;868714;167.8;169.8;166.45
"2013-05-30";168.15;694589;166.45;168.9;165.7
"2013-05-29";166.8;876658;166.3;168.15;165.55
"2013-05-28";167.45;1097572;167.45;169.05;166
"2013-05-27";167.55;392669;167.1;168.35;166.15
"2013-05-24";166.6;1080143;167.85;168.9;164.4
"2013-05-23";168;1647875;165.5;168.6;163.4
"2013-05-22";172.5;977610;171.8;173.9;170.55
"2013-05-21";171.6;1034992;172.9;173.5;169.75
"2013-05-20";173.85;1483159;169;174.9;168.65
"2013-05-17";168.4;2136067;162.45;168.95;161.9
"2013-05-16";162.35;582795;162.7;163.15;161.35
"2013-05-15";162.7;1062151;160.75;163.5;160.5
"2013-05-14";160.25;1003028;157.3;160.9;155.15
"2013-05-13";156.95;633197;157.5;157.8;154.6
"2013-05-10";157.65;1005754;159.2;161;157.45
"2013-05-09";159.05;488347;158.4;159.45;157.1
"2013-05-08";158.35;764544;158.2;159.8;158.05
"2013-05-07";158;856757;156.9;158.75;156.05
"2013-05-06";157;568412;157.9;158.2;156.5
"2013-05-03";158;1672675;153.9;158.95;152.25
"2013-05-02";152.5;1260762;153.5;153.8;150.75
"2013-04-30";153.9;1326889;153.7;155.25;153.15
"2013-04-29";152;1409942;147.7;153.65;147.25
"2013-04-26";148.1;1224124;149.35;150.65;147.15
"2013-04-25";152.6;1133006;151.55;153.85;150.35
"2013-04-24";150.7;2148969;147;153.55;146.4
"2013-04-23";146.9;1499132;142.2;147;140.05
"2013-04-22";142.1;1159173;142.4;143.45;140.95
"2013-04-19";141;1809301;139.35;141.55;138.55
"2013-04-18";138.5;2294674;142.1;142.4;136.6
